ID,분류,항목,적용 시점,운동 추천,실시간 코칭,지식베이스,핵심 룰 (한 줄),입력값,출력값/동작,활용 예시,출처,URL,신뢰도
A11,RPE 자율조절,세트 간 무게 보정 (Helms 룰),세트 직후,-,Y,Y,"목표 RPE 대비 0.5점 차이당 무게 ±2% (1점=±4%, 2점=±8%). 동일 세션의 다음 세트에 즉시 적용","목표 RPE, 입력 RPE, 현재 무게",다음 세트 추천 무게 (kg),5렙 RPE8 목표 + 입력 RPE9 → 다음 세트 -4% (100kg → 96kg). RPE7 입력 → +4% (104kg),Helms (Muscle and Strength Pyramid) / Ripped Body,https://rippedbody.com/rpe/,★★★
A12,RPE 자율조절,세트 간 무게 보정 (RTS 룰),세트 직후,-,Y,Y,"RTS 차트 기반: 컴파운드 1 RPE차당 4~5%, 아이솔레이션·고렙(>8렙) 2~3%. RPE+2 이상이면 즉시 -7~10% 또는 운동 종료","운동 종류(컴파운드/아이솔레이션), 렙수, RPE 차이",다음 세트 추천 무게 + 종료 트리거,스쿼트 3렙 RPE8 목표 → 실제 RPE10: -10% 후 백오프 또는 종료. 이두컬 12렙 RPE8 → 9: -2.5%,Tuchscherer Reactive Training Systems / Exodus Strength 분석,https://www.exodus-strength.com/forum/viewtopic.php?t=2967,★★☆
A13,RPE 자율조절,세션 간 RPE drift 보정,세션 시작 시,Y,Y,Y,"같은 무게·렙에서 RPE가 2주 이상 +1점 drift → 회복 부족. 다음 세션 -5% 또는 디로드. RPE -1점 drift → 적응 완료, +2.5~5% 진행",최근 2~3 세션의 동일 운동 RPE 추이,다음 세션 무게 자동 조정 또는 디로드 권고,벤치 80kg×5 RPE8→8.5→9 추세: 다음 세션 76kg 또는 디로드. RPE8→7→6.5 추세: 82.5kg,"Tuchscherer ""Deloading Effectively"" / Helms 자율조절 원칙",https://store.reactivetrainingsystems.com/blogs/advanced-concepts/deloading-effectively,★★☆
A14,RPE 자율조절,강도 의존성 보정 (>85% 1RM),세트 직후,-,Y,Y,"고강도 영역(<5렙, ≥85% 1RM)에선 1 RPE 오차당 RM 변화가 4.5%로 큼. 보수적으로 -5%(컴파운드)/디폴트 +1단계 더 깎기. 저강도(>10렙)는 2~3%만","현재 %1RM 추정치, 렙수",보정 폭 자동 조정 (5%/3%/2%),데드 3렙 90% 1RM RPE9 입력(목표8): -5%. 사이드레터럴 15렙 70% RPE9: -2%,Tuchscherer RPE 차트 (RM 간격: 1-2RM 4.5% → 9-10RM 2.3%),https://www.exodus-strength.com/forum/viewtopic.php?t=2967,★★☆
B01,주간 볼륨 기준,MV (유지 볼륨),주간 단위,Y,-,Y,근육군당 주 6세트 정도가 현재 근육량 유지 최소치,"근육군, 주차",유지기/디로드 주차 처방값,"디로드 주에 자동 적용, 또는 비활성 사용자 추적",Israetel / RP Strength,https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth,★★★
B02,주간 볼륨 기준,MEV (성장 시작 볼륨),주간 단위,Y,-,Y,"성장 일으키는 최소 볼륨. 가슴 8, 등 10, 다리 6~8세트/주 등 근육군별 다름",근육군,메조사이클 1주차 볼륨 시작값,새 메조사이클 시작 시 근육군별 MEV로 자동 설정,Israetel,https://drmikeisraetel.com/dr-mike-israetel-mv-mev-mav-mrv-explained/,★★★
B03,주간 볼륨 기준,MAV (최적 적응 볼륨),주간 단위,Y,-,Y,"MEV~MRV 사이의 ""성장 존"". 매주 +1~2세트 점진 증가 필요","현재 주 볼륨, 진행 주차",다음 주 볼륨 = 이번 주 + 1~2세트,메조사이클 4~5주 동안 매주 자동으로 세트 추가,Israetel / RP,https://rpstrength.com/blogs/articles/training-volume-landmarks-muscle-growth,★★★
B04,주간 볼륨 기준,MRV (회복 가능 최대 볼륨),주간 단위,Y,Y,Y,근육군당 주 18~25+세트. 초과 시 오버트레이닝 신호 (수면·식욕·관절통·RPE 상승),근육군별 누적 주간 볼륨,MRV 도달 + 수행도 하락 시 디로드 자동 권고,"앱 알림: '가슴 볼륨이 한계치 도달, 다음 주 디로드 추천'",Israetel,https://propanefitness.com/maximum-recoverable-volume/,★★★
B05,주간 볼륨 기준,Volume Dose-Response 메타,세션 전,Y,-,Y,주당 10+ 세트가 1세트보다 효과 큼(ES 0.44 vs 0.24). 12~20세트 권장. 20+ 추가효과 미미,사용자 목표(근비대),주당 권장 볼륨 자동 처방 (12~20세트),근비대 목표 사용자에게 디폴트 주당 12~20세트 처방,Schoenfeld / Krieger,https://www.strongerbyscience.com/volume/,★★★
C01,세트/렙/강도 처방,NSCA RM-1RM% 표,세션 전,Y,-,Y,"RM-%1RM 변환표 (예: 5RM=87%, 8RM=80%, 10RM=75%, 12RM=67%)","목표 렙수, 1RM",추천 무게 (kg),가장 핵심적인 룩업 테이블. 모든 처방의 기반,NSCA Essentials 4판,https://www.nsca.com/contentassets/61d813865e264c6e852cadfe247eae52/nsca_training_load_chart.pdf,★★★
C02,세트/렙/강도 처방,Repetition Continuum,세션 전,Y,-,Y,"근력 ≥85%/1~6렙, 근비대 67~85%/6~12렙, 근지구력 ≤67%/12+렙 (단 근비대는 6~30렙 폭넓게 가능)",사용자 목표,렙범위 + %1RM 자동 매핑,목표 선택 → 렙범위와 강도 자동 결정,Schoenfeld 2021 / NSCA,https://pmc.ncbi.nlm.nih.gov/articles/PMC7927075/,★★★
C03,세트/렙/강도 처방,NSCA 단계별 처방,세션 전,Y,-,Y,"근비대기: 50~75% 1RM, 8~20렙, 3~6세트 / 근력기: 80~95% 1RM, 2~6렙, 2~6세트",훈련 단계,세트수+렙수+강도 처방,훈련 단계 전환 시 변수 자동 변경,NSCA / Bompa,https://www.nsca.com/education/articles/nsca-coach/using-intensity-based-on-sets-and-repetitions-over-50-years-of-experience-a-brief-overview-of-load-setting-and-programming-strategy/,★★★
C04,세트/렙/강도 처방,ACSM 일반인 가이드라인,세션 전,Y,-,Y,"건강 성인: 주 2~3회, 근육군당 1~4세트, 8~20렙, 40~70% 1RM (강화 시 60~80%, 8~12렙, 2~3분 휴식)",사용자 프로필(건강 목적),초보·일반인 디폴트 처방,운동 목적이 '건강'인 사용자의 시작 디폴트값,ACSM 2026 Position Stand,https://acsm.org/resistance-training-guidelines-update-2026/,★★★
C05,세트/렙/강도 처방,실패 vs RIR,세션 전,Y,-,Y,"근력은 실패/비실패 차이 미미, 근비대는 실패 가까울수록 약간 우월. RIR 0~3 모두 유사 효과",운동 종류,컴파운드 RIR 2~3 / 아이솔레이션 RIR 0~2 디폴트,"실패 강요 X, 운동 종류별 안전한 디폴트 RIR 처방",Refalo / Pelland 2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC10161210/,★★★
C06,세트/렙/강도 처방,훈련 빈도,세션 전,Y,-,Y,볼륨 동일 시 빈도는 비대에 무의미. 단 주 2회 이상 분할이 볼륨 분산에 유리,"주간 볼륨, 분할 형태",근육군당 최소 주 2회 분할 권장,분할 추천 알고리즘에서 근육군이 주 2회 이상 자극되도록 자동 배치,Schoenfeld 2016/2018,https://pubmed.ncbi.nlm.nih.gov/27102172/,★★★
C07,세트/렙/강도 처방,휴식 시간,세트 직후,Y,Y,Y,"근력/파워 3~5분, 컴파운드 근비대 2~3분, 아이솔레이션 1~2분. 1분 < 3분 (Schoenfeld 2016)","운동 종류, 목표",휴식 타이머 자동 카운트다운,세트 종료 후 운동 타입에 맞는 타이머 자동 시작,Schoenfeld 2016 / de Salles,https://pubmed.ncbi.nlm.nih.gov/26605807/,★★★
C08,세트/렙/강도 처방,Double Progression,세션 후,Y,Y,-,"렙 범위 처방(예: 8~12렙). 모든 세트가 상한 도달 → 무게 +2.5~5% 인상, 렙 하한 리셋",지난 세션 모든 세트 성공 여부,다음 세션 무게 자동 인상 또는 유지,"세션 끝 → '모두 12렙 성공' → 다음 세션 +2.5kg, 8렙으로 시작",Legion / Bret Contreras,https://legionathletics.com/double-progression/,★★★
C09,세트/렙/강도 처방,Epley 1RM 공식,초기 셋업 / 세트 직후,Y,-,Y,1RM = 무게 × (1 + 렙수/30). 6~10렙에서 정확,"무게, 렙수",추정 1RM,신규 사용자 첫 세션 시 '6~10렙 가능한 무게'로 1RM 자동 추정,Epley 1985,https://en.wikipedia.org/wiki/One-repetition_maximum,★★★
C10,세트/렙/강도 처방,Brzycki 1RM 공식,초기 셋업 / 세트 직후,Y,-,Y,1RM = 무게 × 36 / (37 - 렙수). 1~6렙에서 더 정확,"무게, 렙수(저렙)",추정 1RM,"저렙 테스트 시 Brzycki, 중렙 시 Epley로 자동 분기",Brzycki 1993,https://en.wikipedia.org/wiki/One-repetition_maximum,★★★
C11,세트/렙/강도 처방,세션 길이 가이드,초기 셋업,Y,-,Y,효율 세션 45~75분. 분할로 길이 조절. 90분+ 코르티솔 주장은 1차 출처 약함,"가용 시간, 분할",세션 운동 수/세트 수 자동 조정,'40분만 가능' 입력 → 운동 4~5개로 압축한 세션 자동 빌드,NSCA Essentials,https://www.nsca.com/education/articles/nsca-coach/using-intensity-based-on-sets-and-repetitions-over-50-years-of-experience-a-brief-overview-of-load-setting-and-programming-strategy/,★★☆
C12,세트/렙/강도 처방,마지막 세트만 미달 (Top-set drop-off),세션 종료 직후,Y,-,Y,"첫 1~2세트는 목표 달성, 마지막 세트만 1~2렙 부족이면 무게 유지하고 다음 세션 동일 무게 재시도 (정상적 피로 반응)","세트별 목표렙 vs 실제렙, 미달 세트 위치","다음 세션 무게 동일, 부족분 다음 세션에 회수 시도","벤치 60kg×5,5,4 (목표 5,5,5) → 다음 세션 60kg×5,5,5 도전","Rippetoe & Kilgore, Practical Programming for Strength Training 3rd ed.",https://startingstrength.com/article/training,★★☆
C13,세트/렙/강도 처방,모든 세트 동일 미달 (Stall 1회차),세션 종료 직후,Y,-,Y,모든 워킹 세트가 목표렙 미달이면 1주 더 동일 무게 유지(밀어내기). 그래도 미달이면 C13 적용,"세트별 미달 횟수, 연속 stall 주차","무게·렙 유지, 1주 재시도. 수면/영양/스트레스 체크 프롬프트","스쿼트 3×5 100kg에서 4,4,3 → 다음 주 100kg 재시도","Greg Nuckols, Stronger By Science — How to Deal with Failed Reps",https://www.strongerbyscience.com/failed-reps/,★★☆
C14,세트/렙/강도 처방,2주(3세션) 연속 미달 → Reset (-10%),진행 정체 감지 시,Y,-,Y,동일 무게에서 3세션 연속 목표렙 미달 시 작업 무게 -10% 후 점진 재진입 (Starting Strength reset rule),"연속 stall 세션 수, 직전 작업 무게","무게 ×0.9, 4~6주에 걸쳐 직전 PR 회복 후 초과 시도",100kg 3세션 정체 → 90kg 재시작 → 주당 +2.5kg 점진,"Rippetoe, Starting Strength: Basic Barbell Training 3rd ed. — Reset 절차",https://startingstrength.com/article/the_first_three_questions,★★★
C15,세트/렙/강도 처방,Double Progression 미달 처리 보강,세션 직후,Y,-,Y,"렙 레인지(예: 8~12) 상단 미달 시 무게 유지·렙 누적, 하단(8) 미달 2세션 연속이면 -5~10% 후 재축적","직전 세션 렙, 레인지 하한 미달 횟수","무게 유지/감량 자동 분기, 누적 후 다음 세션 +1렙 시도","8~12 레인지 70kg 7,7 → 다음 세션 65kg 9,9로 재축적","Helms, Valdez & Morgan, The Muscle and Strength Pyramid: Training 2nd ed.",https://muscleandstrengthpyramids.com/,★★☆
D01,주기화 모델,Linear Periodization,주간 단위,Y,-,Y,1~4주 비대(8~12렙) → 5~8주 근력(3~6렙) → 9~12주 파워. 초보~중급 적합,"사용자 레벨, 진행 주차",주차별 변수 자동 변경,초보 사용자 12주 프로그램 자동 생성,Bompa / NSCA,https://www.strongerbyscience.com/periodization-data/,★★★
D02,주기화 모델,Daily Undulating (DUP),주간 단위,Y,-,Y,같은 주 내 일별 비대-근력-파워 변경. 9~12주에 LP보다 약간 우월. 중급+ 권장,사용자 레벨(중·고급),요일별 변수 다른 처방,"월=비대(10렙), 수=근력(5렙), 금=파워(3렙) 자동 분배",Painter 2012 / Colquhoun 2017,https://pubmed.ncbi.nlm.nih.gov/22173008/,★★★
D03,주기화 모델,Block Periodization,주간 단위,Y,-,Y,3~4주 단위 블록(축적-변환-실현). 한 적응 자극 집중. 고급 선수용,사용자 레벨(고급),블록당 1개 적응 우선,"고급 모드 옵션, 대회 준비 사용자에게 적합",Issurin / Verkhoshansky,https://www.strongerbyscience.com/periodization-data/,★★☆
D04,주기화 모델,Flexible DUP,세션 전,Y,Y,Y,고정 순서 대신 사용자가 그날 컨디션 선택. 전통 DUP와 동등 효과,당일 사용자 컨디션 입력,오늘 비대/근력/파워 중 추천,앱 시작 시 '오늘 어떤 느낌?' → 추천 세션 타입,McNamara & Stearne 2010,https://pubmed.ncbi.nlm.nih.gov/20042923/,★★★
D05,주기화 모델,분할 루틴 비교,초기 셋업,Y,-,Y,"풀바디(주2~3) = 초보, 상하분할(주4) = 중급, PPL(주5~6) = 고급. 빈도×볼륨 동일하면 효과 동등","가용 일수, 사용자 레벨",권장 분할 형태 자동 매핑,"주 3회 가용 → 풀바디, 주 5회 → PPL 추천",Schoenfeld 2016 / Israetel,https://rpstrength.com/blogs/articles/your-training-split-doesn-t-matter,★★★
D06,주기화 모델,Starting Strength (5x5/5x3),초기 셋업,Y,-,Y,"초보용 LP. 스쿼트/벤치/오버헤드/데드 5렙×3세트, 매 세션 +2.5~5kg 인상. 6~12개월 적합","사용자 레벨(초보), 1RM",프로그램 처방 (월수금 A/B 교대),6개월 미만 사용자 디폴트 추천,Mark Rippetoe,https://startingstrength.com/get-started/programs,★★★
D07,주기화 모델,5/3/1 Wendler,초기 셋업,Y,-,Y,"메인 4주 사이클 (5/3/1+/디로드). TM(트레이닝맥스)=1RM의 90%로 시작, 사이클당 +2.5~5kg","사용자 레벨(중급), 1RM",4주 처방 자동 생성,SS 졸업한 중급자 디폴트 추천,Jim Wendler,https://thefitness.wiki/routines/5-3-1-for-beginners/,★★★
D08,주기화 모델,GZCLP,초기 셋업,Y,-,Y,초·중급 LP. T1(메인 5+렙)→T2(보조 10+렙)→T3(아이솔 15+렙) 3-tier 구조,"사용자 레벨, 1RM",프로그램 처방,SS 대안. 헬스장 초보~중급 사용자,Cody LeFever / r/Fitness wiki,https://thefitness.wiki/routines/gzclp/,★★☆
D09,주기화 모델,nSuns LP,초기 셋업,Y,-,Y,"Wendler 변형. 주 6일, 메인+보조 모두 5/3/1 패턴. 빠른 무게 진행 (정체기 돌파용)",사용자 레벨(중급+),프로그램 처방,5/3/1 정체기 사용자 옵션,nSuns / r/Fitness wiki,https://thefitness.wiki/routines/nsuns-lp/,★★☆
D10,주기화 모델,PHUL/PHAT (하이브리드),초기 셋업,Y,-,Y,"근력일+근비대일 결합 분할. 상/하분할 위에 일별 포커스 다름 (PHUL=4일, PHAT=5일)",사용자 레벨(중급+) / 목표(파워+근비대),분할 처방,근력+사이즈 동시 추구하는 중급자,Layne Norton / Brandon Campbell,https://www.muscleandstrength.com/workouts/phat-power-hypertrophy-adaptive-training,★★☆
D11,주기화 모델,초보자 빅3+OHP 디폴트 시작 무게 (남성),첫 세션 / 프로그램 진입,Y,-,Y,"남성 초보는 스쿼트·벤치·OHP를 빈 바벨(20kg)로, 데드리프트는 40kg(20kg 바+10kg 양쪽)부터 시작","성별=남, 운동 경험=없음, 바벨 종류=20kg 표준","스쿼트/벤치/OHP 20kg, 데드리프트 40kg 첫 세트","""오늘 첫 운동"" 입력 시 5x5 20kg 스쿼트로 시작",StrongLifts 5x5 (Mehdi Hadim),https://stronglifts.com/stronglifts-5x5/workout-program/,★★☆
D12,주기화 모델,초보자 빅3+OHP 디폴트 시작 무게 (여성),첫 세션 / 프로그램 진입,Y,-,Y,"여성 초보는 15kg 여성용 바벨(없으면 20kg) 빈 바로 스쿼트·벤치·OHP, 데드리프트는 30~40kg부터 시작","성별=여, 운동 경험=없음, 바벨 종류=15kg 또는 20kg","스쿼트/벤치/OHP 15~20kg, 데드리프트 30~40kg","헬스장에 15kg 바 있으면 우선, 없으면 20kg 빈 바 + 폼 점검",IPF Technical Rules Book 2024 (15kg 여성 바),https://www.powerlifting.sport/fileadmin/ipf/data/rules/technical-rules/english/IPF_Technical_Rules_Book_2024_24_Jan.pdf,★★★
D13,주기화 모델,빈 바벨로 시작하는 원칙,첫 세션 / 운동 신규 진입,Y,-,Y,새로운 바벨 운동은 빈 바벨로 시작해 워크셋을 정하고 그 차이를 균등 분할로 워밍업,"운동 종목, 목표 워크셋 무게",빈 바 → 50% → 70% → 90% → 100% 분할 제안,초보 첫 스쿼트: 20kg → 30 → 40 → 50kg 워크셋,"Mark Rippetoe, ""Incremental Increases"" (Starting Strength)",https://startingstrength.com/article/incremental_increases,★★☆
D14,주기화 모델,초보자 첫 세션 워크셋 상한 가이드,첫 세션 워크셋 결정 시,Y,Y,Y,평균 체중 완전 초보 남성이 첫 스쿼트 워크셋에서 65kg(145lb) 5x3을 넘는 경우는 드물다 — 욕심 내지 말 것,"성별, 체중, 훈련 이력","첫 워크셋 상한 65kg(스쿼트, 평균 체중 남성 기준)로 클램프","사용자가 80kg 시작 입력 시 ""첫날엔 65kg 정도가 적정""으로 다운그레이드 권장","Mark Rippetoe, Starting Strength: Basic Barbell Training (Blue Book)",https://startingstrength.com/article/incremental_increases,★★☆
D15,주기화 모델,초보자 증량 폭(점프) 디폴트,매 세션 성공 후,Y,Y,Y,"하체(스쿼트·데드)는 세션당 +5kg(초기 +10kg 가능), 상체(벤치·OHP·로우)는 +2.5kg(초기 +5kg). 실패 시 절반 또는 디로드","직전 세션 성공/실패, 운동 종목",다음 세션 무게 자동 계산,60kg 스쿼트 5x5 성공 → 다음 세션 62.5kg 제안,"Mark Rippetoe, ""Incremental Increases""",https://startingstrength.com/article/incremental_increases,★★☆
E01,실시간 코칭,VBT (속도 기반 훈련),세트 중,-,Y,Y,바벨 속도(m/s) 측정으로 강도/피로 실시간 모니터링. 1RM 추정·동기·피로 감지,바벨 속도 데이터(센서/카메라),실시간 피로 알림·1RM 추정,폰 카메라 컴퓨터비전으로 속도 추정 가능,NSCA SCJ 2021,https://journals.lww.com/nsca-scj/fulltext/2021/04000/velocity_based_training__from_theory_to.4.aspx,★★☆
E02,실시간 코칭,Load-Velocity Profile,세션 전,Y,Y,-,개인별 운동별 무게-속도 선형관계. 워밍업 세트 속도 → 그날의 1RM 추정,워밍업 세트 무게/속도,당일 1RM 추정 → 무게 자동 보정,세션 시작 시 워밍업으로 그날 컨디션 반영한 무게 자동 조정,Vitruve,https://vitruve.fit/blog/vbt-guide-creating-a-load-velocity-profile/,★★☆
E03,실시간 코칭,Velocity Loss 임계,세트 중,-,Y,Y,"첫 렙 대비 속도 감소율로 종료. 파워 10~20%, 근력 20~25%, 근비대 25~40%. 35%+ 지속 권장X","렙별 속도, 목표",속도 감소 임계 도달 시 세트 강제 종료,목표별 임계값 다름. '근력 모드'면 25% 도달 시 종료,Pareja-Blanco / Sports Med 2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9807551/,★★★
E04,실시간 코칭,실시간 피드백 효과,세트 직후,-,Y,Y,"렙별 속도 피드백은 동기·집중·움직임 질↑, 인지 노력↓",세트 데이터,세트 후 시각적 피드백 표시,세트 후 '이번 세트 평균 속도 0.8m/s' 그래프 표시 → 동기부여,Weakley 2023 (Sports Med meta),https://pubmed.ncbi.nlm.nih.gov/37410360/,★★☆
E05,실시간 코칭,External vs Internal 큐,세트 중,-,Y,Y,"외적 큐(""천장으로 밀어"") > 내적 큐(""가슴 사용""). 학습·수행 모두 외적 큐 우월",운동명·동작 단계,운동별 외적 큐 텍스트/음성 출력,세트 시작 전 '바닥을 찢어내듯' 같은 외적 큐 자동 안내,Wulf,https://www.thestrengthathlete.com/blog/external-cues,★★★
E06,실시간 코칭,스쿼트 폼 에러·큐,세트 중 / 세트 후,-,Y,Y,무릎 내회전·깊이 부족·중심 이동·골반 윙크 → 외적 큐 매핑,폼 분석(영상/사용자 보고) 결과,에러 → 큐 매핑 출력,비전 모델로 에러 감지 후 해당 큐 음성 안내,Power Rack Strength / TPS,https://www.powerrackstrength.com/3-common-squat-mistakes/,★★☆
E07,실시간 코칭,벤치프레스 폼 큐,세트 중,-,Y,Y,발 고정·광배 활성·어깨 후퇴/하강·바 패스 가슴하부→어깨위·팔꿈치 45~75°,운동명·셋업 단계,셋업 체크리스트·큐 출력,세트 시작 전 체크리스트 표시 + 음성 코칭,PowerliftingTechnique / Starting Strength,https://startingstrength.com/article/the-bench-press-anatomy-and-kinesiology,★★★
E08,실시간 코칭,데드리프트 폼 큐,세트 중,-,Y,Y,바 발 위 중간·광배 잠금·척추 중립·다리로 밀기·밸살바 호흡,운동명·셋업 단계,셋업 체크리스트·큐 출력,세트 시작 전 셋업 가이드 자동 안내,PowerliftingTechnique / Men's Journal,https://powerliftingtechnique.com/deadlift-cues/,★★★
E09,실시간 코칭,RAMP 워밍업 프로토콜,세션 전,Y,-,Y,R(심박↑)-A(타깃 활성)-M(가동성)-P(종목 점증세트). 정적 스트레칭 회피,"메인 운동, 작업 무게",워밍업 시퀀스 자동 생성,바벨 스쿼트 100kg 작업 → 50%×5/70%×3/85%×2 자동 처방,Ian Jeffreys 2007,https://humankinetics.me/2019/03/04/what-is-the-ramp-warm-up/,★★★
E10,실시간 코칭,오버헤드프레스 폼 큐,세트 중,-,Y,Y,"발 어깨너비, 코어/둔근 잠금, 바 코끝 → 머리 위 직선 경로, 락아웃 시 머리 통과",운동명·셋업 단계,셋업 체크리스트·외적 큐 출력,셋업 가이드 + 세트 중 '천장 밀어' 같은 외적 큐 안내,Starting Strength / Stronger By Science,https://startingstrength.com/article/the-press,★★★
E11,실시간 코칭,풀업/친업 폼 큐,세트 중,-,Y,Y,어깨 후퇴/하강 시작 → 가슴을 바에 → 턱이 바 위. 발 교차/킵핑 금지,운동명·셋업 단계,셋업 체크리스트·큐 출력,셋업 가이드 + 음성 코칭,Stronger By Science,https://startingstrength.com/article/chins-and-pullups,★★★
