ID,분류,항목,적용 시점,운동 추천,실시간 코칭,지식베이스,핵심 룰 (한 줄),입력값,출력값/동작,활용 예시,출처,URL,신뢰도
A13,RPE 자율조절,세션 간 RPE drift 보정,세션 시작 시,Y,Y,Y,"같은 무게·렙에서 RPE가 2주 이상 +1점 drift → 회복 부족. 다음 세션 -5% 또는 디로드. RPE -1점 drift → 적응 완료, +2.5~5% 진행",최근 2~3 세션의 동일 운동 RPE 추이,다음 세션 무게 자동 조정 또는 디로드 권고,벤치 80kg×5 RPE8→8.5→9 추세: 다음 세션 76kg 또는 디로드. RPE8→7→6.5 추세: 82.5kg,"Tuchscherer ""Deloading Effectively"" / Helms 자율조절 원칙",https://store.reactivetrainingsystems.com/blogs/advanced-concepts/deloading-effectively,★★☆
A14,RPE 자율조절,강도 의존성 보정 (>85% 1RM),세트 직후,-,Y,Y,"고강도 영역(<5렙, ≥85% 1RM)에선 1 RPE 오차당 RM 변화가 4.5%로 큼. 보수적으로 -5%(컴파운드)/디폴트 +1단계 더 깎기. 저강도(>10렙)는 2~3%만","현재 %1RM 추정치, 렙수",보정 폭 자동 조정 (5%/3%/2%),데드 3렙 90% 1RM RPE9 입력(목표8): -5%. 사이드레터럴 15렙 70% RPE9: -2%,Tuchscherer RPE 차트 (RM 간격: 1-2RM 4.5% → 9-10RM 2.3%),https://www.exodus-strength.com/forum/viewtopic.php?t=2967,★★☆
B04,주간 볼륨 기준,MRV (회복 가능 최대 볼륨),주간 단위,Y,Y,Y,근육군당 주 18~25+세트. 초과 시 오버트레이닝 신호 (수면·식욕·관절통·RPE 상승),근육군별 누적 주간 볼륨,MRV 도달 + 수행도 하락 시 디로드 자동 권고,"앱 알림: '가슴 볼륨이 한계치 도달, 다음 주 디로드 추천'",Israetel,https://propanefitness.com/maximum-recoverable-volume/,★★★
C07,세트/렙/강도 처방,휴식 시간,세트 직후,Y,Y,Y,"근력/파워 3~5분, 컴파운드 근비대 2~3분, 아이솔레이션 1~2분. 1분 < 3분 (Schoenfeld 2016)","운동 종류, 목표",휴식 타이머 자동 카운트다운,세트 종료 후 운동 타입에 맞는 타이머 자동 시작,Schoenfeld 2016 / de Salles,https://pubmed.ncbi.nlm.nih.gov/26605807/,★★★
C08,세트/렙/강도 처방,Double Progression,세션 후,Y,Y,-,"렙 범위 처방(예: 8~12렙). 모든 세트가 상한 도달 → 무게 +2.5~5% 인상, 렙 하한 리셋",지난 세션 모든 세트 성공 여부,다음 세션 무게 자동 인상 또는 유지,"세션 끝 → '모두 12렙 성공' → 다음 세션 +2.5kg, 8렙으로 시작",Legion / Bret Contreras,https://legionathletics.com/double-progression/,★★★
D04,주기화 모델,Flexible DUP,세션 전,Y,Y,Y,고정 순서 대신 사용자가 그날 컨디션 선택. 전통 DUP와 동등 효과,당일 사용자 컨디션 입력,오늘 비대/근력/파워 중 추천,앱 시작 시 '오늘 어떤 느낌?' → 추천 세션 타입,McNamara & Stearne 2010,https://pubmed.ncbi.nlm.nih.gov/20042923/,★★★
D14,주기화 모델,초보자 첫 세션 워크셋 상한 가이드,첫 세션 워크셋 결정 시,Y,Y,Y,평균 체중 완전 초보 남성이 첫 스쿼트 워크셋에서 65kg(145lb) 5x3을 넘는 경우는 드물다 — 욕심 내지 말 것,"성별, 체중, 훈련 이력","첫 워크셋 상한 65kg(스쿼트, 평균 체중 남성 기준)로 클램프","사용자가 80kg 시작 입력 시 ""첫날엔 65kg 정도가 적정""으로 다운그레이드 권장","Mark Rippetoe, Starting Strength: Basic Barbell Training (Blue Book)",https://startingstrength.com/article/incremental_increases,★★☆
D15,주기화 모델,초보자 증량 폭(점프) 디폴트,매 세션 성공 후,Y,Y,Y,"하체(스쿼트·데드)는 세션당 +5kg(초기 +10kg 가능), 상체(벤치·OHP·로우)는 +2.5kg(초기 +5kg). 실패 시 절반 또는 디로드","직전 세션 성공/실패, 운동 종목",다음 세션 무게 자동 계산,60kg 스쿼트 5x5 성공 → 다음 세션 62.5kg 제안,"Mark Rippetoe, ""Incremental Increases""",https://startingstrength.com/article/incremental_increases,★★☆
E01,실시간 코칭,VBT (속도 기반 훈련),세트 중,-,Y,Y,바벨 속도(m/s) 측정으로 강도/피로 실시간 모니터링. 1RM 추정·동기·피로 감지,바벨 속도 데이터(센서/카메라),실시간 피로 알림·1RM 추정,폰 카메라 컴퓨터비전으로 속도 추정 가능,NSCA SCJ 2021,https://journals.lww.com/nsca-scj/fulltext/2021/04000/velocity_based_training__from_theory_to.4.aspx,★★☆
E02,실시간 코칭,Load-Velocity Profile,세션 전,Y,Y,-,개인별 운동별 무게-속도 선형관계. 워밍업 세트 속도 → 그날의 1RM 추정,워밍업 세트 무게/속도,당일 1RM 추정 → 무게 자동 보정,세션 시작 시 워밍업으로 그날 컨디션 반영한 무게 자동 조정,Vitruve,https://vitruve.fit/blog/vbt-guide-creating-a-load-velocity-profile/,★★☆
E03,실시간 코칭,Velocity Loss 임계,세트 중,-,Y,Y,"첫 렙 대비 속도 감소율로 종료. 파워 10~20%, 근력 20~25%, 근비대 25~40%. 35%+ 지속 권장X","렙별 속도, 목표",속도 감소 임계 도달 시 세트 강제 종료,목표별 임계값 다름. '근력 모드'면 25% 도달 시 종료,Pareja-Blanco / Sports Med 2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9807551/,★★★
E04,실시간 코칭,실시간 피드백 효과,세트 직후,-,Y,Y,"렙별 속도 피드백은 동기·집중·움직임 질↑, 인지 노력↓",세트 데이터,세트 후 시각적 피드백 표시,세트 후 '이번 세트 평균 속도 0.8m/s' 그래프 표시 → 동기부여,Weakley 2023 (Sports Med meta),https://pubmed.ncbi.nlm.nih.gov/37410360/,★★☆
E05,실시간 코칭,External vs Internal 큐,세트 중,-,Y,Y,"외적 큐(""천장으로 밀어"") > 내적 큐(""가슴 사용""). 학습·수행 모두 외적 큐 우월",운동명·동작 단계,운동별 외적 큐 텍스트/음성 출력,세트 시작 전 '바닥을 찢어내듯' 같은 외적 큐 자동 안내,Wulf,https://www.thestrengthathlete.com/blog/external-cues,★★★
E06,실시간 코칭,스쿼트 폼 에러·큐,세트 중 / 세트 후,-,Y,Y,무릎 내회전·깊이 부족·중심 이동·골반 윙크 → 외적 큐 매핑,폼 분석(영상/사용자 보고) 결과,에러 → 큐 매핑 출력,비전 모델로 에러 감지 후 해당 큐 음성 안내,Power Rack Strength / TPS,https://www.powerrackstrength.com/3-common-squat-mistakes/,★★☆
E07,실시간 코칭,벤치프레스 폼 큐,세트 중,-,Y,Y,발 고정·광배 활성·어깨 후퇴/하강·바 패스 가슴하부→어깨위·팔꿈치 45~75°,운동명·셋업 단계,셋업 체크리스트·큐 출력,세트 시작 전 체크리스트 표시 + 음성 코칭,PowerliftingTechnique / Starting Strength,https://startingstrength.com/article/the-bench-press-anatomy-and-kinesiology,★★★
E08,실시간 코칭,데드리프트 폼 큐,세트 중,-,Y,Y,바 발 위 중간·광배 잠금·척추 중립·다리로 밀기·밸살바 호흡,운동명·셋업 단계,셋업 체크리스트·큐 출력,세트 시작 전 셋업 가이드 자동 안내,PowerliftingTechnique / Men's Journal,https://powerliftingtechnique.com/deadlift-cues/,★★★
E10,실시간 코칭,오버헤드프레스 폼 큐,세트 중,-,Y,Y,"발 어깨너비, 코어/둔근 잠금, 바 코끝 → 머리 위 직선 경로, 락아웃 시 머리 통과",운동명·셋업 단계,셋업 체크리스트·외적 큐 출력,셋업 가이드 + 세트 중 '천장 밀어' 같은 외적 큐 안내,Starting Strength / Stronger By Science,https://startingstrength.com/article/the-press,★★★
E11,실시간 코칭,풀업/친업 폼 큐,세트 중,-,Y,Y,어깨 후퇴/하강 시작 → 가슴을 바에 → 턱이 바 위. 발 교차/킵핑 금지,운동명·셋업 단계,셋업 체크리스트·큐 출력,셋업 가이드 + 음성 코칭,Stronger By Science,https://startingstrength.com/article/chins-and-pullups,★★★
E12,실시간 코칭,바벨 로우 폼 큐,세트 중,-,Y,Y,"힙힌지 45도, 척추 중립, 바를 배꼽 하단으로, 팔꿈치 옆구리 향함, 견갑 후퇴",운동명·셋업,셋업 체크리스트·큐 출력,셋업 가이드 + 외적 큐,Strength Log,https://www.strengthlog.com/barbell-row/,★★☆
E13,실시간 코칭,Valsalva 호흡,세트 중,-,Y,Y,고중량(>80%) 시 들숨 → 호흡정지로 복강내압 형성 → 하강 → 상승 후 배출. 고혈압자 주의,"무게 비율, 운동 종류",호흡 큐 자동 출력,컴파운드 80%+ 세트 시작 전 호흡 안내,NSCA Essentials / Hackett 2013,https://pubmed.ncbi.nlm.nih.gov/23222073/,★★★
E14,실시간 코칭,가동범위 (ROM) 기준,세트 중,Y,Y,Y,풀ROM이 부분반복보다 근비대·근력 우월. 단 신장 위치 강조 부분반복은 풀ROM 동등 또는 우월,"운동명, 사용자 ROM 데이터",ROM 부족 시 큐 출력,스쿼트 깊이 부족 감지 → '엉덩이 더 내려' 큐,Pedrosa 2022 (Eur J Sport Sci),https://pubmed.ncbi.nlm.nih.gov/33977835/,★★★
E15,실시간 코칭,부상 신호 vs 근육통,세션 중 / 세션 후,-,Y,Y,관절통·날카로운 통증·국소 통증=부상 신호. 양측 대칭 둔통 24~72h=DOMS(정상),사용자 통증 위치/강도/시점,운동 중단 권고 또는 정상 신호 분기,통증 입력 → 부위/패턴 분석 → 중단/계속 분기,Cheung 2003 (DOMS 리뷰),https://pubmed.ncbi.nlm.nih.gov/12617692/,★★☆
E16,실시간 코칭,컴파운드 셋업 체크리스트,세트 직전,-,Y,-,①발 위치 ②그립 너비 ③척추 중립 ④광배/코어 잠금 ⑤호흡 셋팅 5단계,운동명,단계별 체크리스트 UI,모든 컴파운드 첫 세트 전 자동 표시,NSCA / Starting Strength,https://startingstrength.com/article/the_squat,★★★
E17,실시간 코칭,그립 너비/유형,세션 전,Y,Y,Y,"벤치: 어깨너비 1.5배. 데드: 어깨너비. 풀업: 광배=와이드, 이두=내로우/언더. 후크그립=고중량 데드","운동명, 목표 근육",권장 그립 너비/유형 출력,운동 선택 시 그립 옵션 안내,PowerliftingTechnique / SBS,https://startingstrength.com/article/grip-width-on-the-bench-press,★★☆
G02,회복/디로드,디로드 트리거 (자동 감지),세션 후,-,Y,Y,"같은 무게에 RPE +2 상승, 수면·식욕 악화, 관절통 누적, 동기 저하 → 디로드 신호","최근 3+ 세션 RPE drift, 수면, 통증",디로드 권고 알림,3세션 연속 RPE drift +2 → '이번 주 디로드 권장' 푸시,Israetel / Bell 2024,https://shura.shu.ac.uk/35313/3/Bell-APracticalApproach(AM).pdf,★★★
G04,회복/디로드,주간 부하 +10% 룰 (부상 예방),주간 단위,Y,Y,Y,주간 총 부하 증가는 10% 이내. 초과 시 부상 위험. ACWR 0.8~1.3 안전 구간,이번주 vs 지난주 총볼륨,초과 시 경고/상한 적용,주간 볼륨 +15% 이상 증가 시 '부상 위험' 경고,Gabbett ACWR,https://gymaware.com/progressive-overload-the-ultimate-guide/,★★★
G07,회복/디로드,디로드 트리거 신호 (다지표 자동),매주말 자동 평가,-,Y,Y,다음 중 ≥2개 충족 시 익주 디로드 자동 권고: ①RPE drift +1.5 이상 ②수면 <6h 주 4일+ ③관절통 NPRS ≥4 ④동기 ≤2/5 ⑤최근 PR 후 14일 경과,"주간 RPE 추이, 수면, 통증 NPRS, 동기 점수","""디로드 권고"" 알림 + 다음 주 처방 자동 G05/G06으로 전환",4주차 종료 시 RPE +1.7 & 수면 5.2h 평균 → 5주차 자동 디로드 처방,Bell et al. 2023 Delphi Consensus (Sports Medicine - Open),https://pmc.ncbi.nlm.nih.gov/articles/PMC10511399/,★★★
I01,기타,초보자 Linear Progression,세션 후,Y,Y,-,초보(<6개월)는 매 세션 +2.5~5lb 가능. 자율조절 불필요,사용자 레벨,초보면 단순 LP 룰 사용,초보 모드: 자율조절 끄고 매 세션 자동 무게 인상,Mark Rippetoe (Starting Strength),https://startingstrength.com/get-started/programs,★★★
I02,기타,Tempo Notation,세트 중,-,Y,Y,"4-숫자 표기(예: 3-1-1-0): 이심성-바닥-구심성-탑. 이심성 2~4초, 구심성 1~2초",운동 처방 템포,세트 내 메트로놈/비프음 코칭,옵션 기능: 비프음으로 템포 안내,NSCA,https://www.strongerbyscience.com/tempo-for-muscle/,★☆☆
I04,기타,ACWR (급성/만성 부하비),주간 단위,-,Y,Y,"7일 부하 / 28일 부하. 0.8~1.3 안전, 1.5+ 부상 위험",최근 7일/28일 볼륨,위험 구간 진입 시 알림,고강도 사용자 모니터링용 추가 지표,Gabbett 2016,https://www.scienceforsport.com/acutechronic-workload-ratio/,★★☆
K04,영양,수분 가이드,세션 전중후,-,Y,Y,기본 30~35ml/kg + 운동 시간당 +500~1000ml. 2% 탈수에서 수행 저하,"체중, 세션 시간",수분 섭취 알림,세션 중 15분마다 수분 알림,ACSM Position Stand,https://www.acsm.org/docs/default-source/files-for-resource-library/exercise-fluid-replacement.pdf,★★★
K06,회복,수면 부족 → 부상 위험,세션 전,Y,Y,Y,<8h 수면 시 부상 위험 1.7배↑ (Milewski 청소년). 만성 부족은 ACWR 변동성↑,"수면 데이터, 훈련 부하",부상 위험 알림,3일 연속 6h 미만 → 디로드 권고,Milewski 2014,https://pubmed.ncbi.nlm.nih.gov/25028798/,★★★
K08,회복,근육통 (DOMS) 관리,세션 후,-,Y,Y,24~72h 피크. 가벼운 운동·마사지·온/냉찜질 효과 미미~보통. 7일+ 지속 시 부상 의심,"통증 시작 시점, 강도",정상/이상 분류,7일+ 지속 통증 → 부상 신호 알림,Dupuy 2018,https://www.frontiersin.org/articles/10.3389/fphys.2018.00403/full,★★☆
L05,특수 모집단,제2형 당뇨 운동 처방,사용자 프로필 등록 시 / 강도 처방 시,Y,Y,Y,"빈도 유산소 3~7일/주(연속 2일 비활동 회피)+저항 2~3일/주 비연속일 | 강도 중강도 RPE5~7(40~60% HRR/VO2R, 50~70% HRmax) | 시간 유산소 150분/주(중강도) 또는 75분/주(고강도) · 저항 주요 근육군 8~10종목×1~3세트 | 형태 걷기·자전거·수영·기계식 저항 권장, 식후 30분 가벼운 걷기 = 식후혈당 변동↓ | 인슐린·SU계(글리메피리드/글리피지드) 복용자: 운동 전 혈당<100 mg/dL 시 탄수 15g 보충, 운동 중·후 저혈당 모니터 | 30분마다 일어서기/3~5분 가벼운 움직임 | 적색기(즉시 의뢰): 증식성 망막증·심한 비증식성 망막증→고강도/Valsalva/점프/머리숙임 동작 금지·안과 의뢰 / 자율신경병증·심한 신경병증·족부궤양→체중부하 운동 제한·내분비내과 의뢰 / 공복혈당>250 mg/dL+케톤 양성→운동 보류 / 저혈당 빈발(주 2회 이상) 또는 무자각성 저혈당→내분비내과 상담","진단명(제2형 당뇨), 복용 약물(인슐린·SU·메트포르민 등), 합병증(망막증/신증/신경병증/족부), HbA1c·공복혈당, 운동 가능 시간",FITT 권고(유산소 분/주·저항 회/주) + 회피 운동 리스트 + RPE 상한 + 운동 전후 혈당 모니터링 항목 + 의뢰 트리거 분기,"사용자: ""당뇨인데 데드리프트 해도 돼요?"" → 챗봇: ""제2형 당뇨이면서 망막·신장 합병증이 없다면 저항운동은 권장됩니다(주 2~3회). 다만 70kg 사용자 기준 RPE7 이하·8~12렙·세트 사이 호흡 정상 유지(Valsalva 회피)를 권고합니다. 인슐린/글리메피리드 복용 중이면 운동 시작 전 혈당 측정해 100 mg/dL 미만이면 탄수 15g(바나나 1/2개) 드시고 시작하세요. 망막증·심한 신경병증이 있다면 데드리프트는 피하고 내분비내과·안과 상담을 받으시는 것이 안전합니다.""",ACSM Guidelines for Exercise Testing and Prescription 11th ed (2022) + ADA Standards of Care 2024 + 대한당뇨병학회 2023 진료지침,https://www.acsm.org/education-resources/books/guidelines-exercise-testing-prescription/,★★★
L06,특수 모집단,고혈압 운동 처방,사용자 프로필 등록 시 / 강도 처방 시,Y,Y,Y,"빈도 유산소 5~7일/주(가능하면 매일)+저항 2~3일/주 | 강도 중강도 RPE4~6(40~60% VO2R/HRR) - 저항운동은 RPE6 이하·1RM 60~70%로 보수적 | 시간 유산소 30분/일(또는 누적), 주 90~150분 · 저항 주요 근육군 8~12렙×2~4세트 | 형태 걷기·자전거·수영 등 유산소 우선 + 가벼운 머신 저항(프리웨이트 1RM 이상 고중량 회피) | Valsalva(호흡 참기) 절대 회피 - 들어올릴 때 호기, 내릴 때 흡기 / 운동 중 SBP>250 또는 DBP>115 시 즉시 중단 | β-차단제 복용자: 심박수 둔화 → HR 대신 RPE로 강도 관리 / 이뇨제: 탈수·전해질 주의 / α-차단제: 운동 후 기립성 저혈압 위험 → 쿨다운 5분 필수 | 적색기(즉시 의뢰): 안정시 BP≥180/110 mmHg → 운동 보류·내과 진료 / 가슴통증·심한 두통·시야 흐림·호흡곤란·실신감 → 즉시 중단·119 또는 응급실 / 미조절 고혈압(BP>160/100 지속)·표적장기 손상 의심 → 심장내과 상담","진단명(고혈압 1·2기), 복용 약물(β-차단제·이뇨제·ACEi·ARB·CCB), 안정시 BP 최근치, 동반질환(CVD/당뇨)",FITT 권고 + Valsalva 회피 안내 + RPE 상한(저항 RPE6) + 약물별 주의사항 + 의뢰 트리거 + 운동 중 BP 모니터링 권고,"사용자: ""고혈압 약(베타차단제) 먹는데 데드리프트 괜찮나요?"" → 챗봇: ""안정시 혈압이 140/90 이하로 조절되고 있다면 데드리프트가 절대 금지는 아닙니다. 다만 70kg 사용자 기준 1RM 60% 이하(약 60kg)·8~12렙·RPE6 이하로 가볍게, 호흡은 들어올릴 때 ""후"" 내쉬기를 지키세요(호흡 참기는 혈압 급상승의 가장 큰 원인). 베타차단제는 심박수를 둔화시키므로 심박수 대신 RPE로 강도를 가늠하시고, 운동 후 어지러움이 오면 5분 이상 천천히 걷는 쿨다운을 하세요. 안정시 BP가 180/110을 넘는 날엔 운동을 미루고 내과 상담이 필요합니다.""",ACSM Guidelines 11th ed (2022) + ACSM Pronouncement on Exercise & Hypertension 2023 + 대한고혈압학회 2022 진료지침,https://www.koreanhypertension.org/reference/guide?mode=read&idno=10081,★★★
L07,특수 모집단,이상지질혈증·대사증후군 운동 처방,사용자 프로필 등록 시 / 강도 처방 시,Y,Y,Y,"빈도 유산소 5~7일/주(가능하면 매일)+저항 2~3일/주(비연속일)+유연성 2~3일/주 | 강도 중강도 RPE4~6(40~70% HRR, HRmax 55~75%) - 체중감량 목표 시 강도보다 시간 우선 | 시간 유산소 30~60분/일·주 200~300분(체중감량/지질개선 최적), 최소 150분 · 주당 칼로리 소비 1,000~2,000 kcal | 형태 걷기·조깅·자전거·수영(유산소) + 상하지·체간 기계식 저항(주요 근육군) | 동반 위험인자(고혈압·당뇨·CVD)에 따라 L05/L06 안전기준 중복 적용 | 적색기(즉시 의뢰): 가족성 고콜레스테롤(LDL>190)·기왕 심혈관질환(MI/PCI/뇌졸중)·당뇨+50세 이상·운동 중 가슴통증/턱·왼팔 방사통/심한 호흡곤란 → 운동 시작 전 심혈관내과 운동부하검사 권고 / 미조절 대사증후군(혈압>180/110, 공복혈당>250) → 내과 의뢰 후 운동 시작","진단명(이상지질혈증·대사증후군), 지질 패널(LDL/HDL/TG), 복용 약물(스타틴·에제티미브·페노피브레이트), 동반질환, BMI/허리둘레",FITT 권고 + 주 칼로리 소비 목표 + 동반질환 시 L05/L06 규칙 중복 적용 + 의뢰 트리거,"사용자: ""중성지방 280인데 어떤 운동을 얼마나 해야 하나요?"" → 챗봇: ""중성지방 개선에는 유산소가 가장 효과적입니다. 빨리걷기·자전거·수영을 주 5일 이상, 회당 30~60분, 주 합계 200~300분을 권고합니다(중강도 RPE5 정도). 여기에 주 2~3회 저항운동을 더하면 LDL이 추가로 약 10% 더 낮아진다는 보고가 있습니다. 70kg 기준 주당 1,000~2,000 kcal 소비가 지질 개선 최적 구간입니다. 단, 가족성 고콜레스테롤(LDL>190)이거나 심혈관질환 이력이 있다면 시작 전 심장내과 운동부하검사를 받으시는 것이 안전합니다.""",ACSM Guidelines 11th ed (2022) + 한국지질·동맥경화학회 이상지질혈증 진료지침 5판 (2022),https://www.lipid.or.kr/uploaded/board/guideline/_50e8f3527d0798a82a29b8ef6c363cce2.pdf,★★★
